,timestamp,power_kw,airflow_m3s,water_pressure_kpa,water_flow_lps,temperature_c,vibration_level,sound_event,system_status,sensor_source
0,2026-07-01 00:00:00,49.391,4.674,361.114,2.31,19.389,0.13,normal,stable,original
1,2026-07-01 01:00:00,47.613,4.452,372.913,2.239,18.724,0.146,normal,stable,original
2,2026-07-01 02:00:00,49.814,4.727,333.217,2.109,18.591,0.126,normal,stable,original
3,2026-07-01 03:00:00,52.264,5.033,356.756,2.003,18.998,0.141,normal,stable,original
4,2026-07-01 04:00:00,47.344,4.418,342.192,2.205,18.915,0.093,normal,stable,original
5,2026-07-01 05:00:00,47.344,4.418,344.154,2.159,18.773,0.156,normal,stable,original
6,2026-07-01 06:00:00,52.422,5.053,342.891,2.234,19.348,0.15,normal,stable,original
7,2026-07-01 07:00:00,50.149,4.769,339.632,2.195,19.478,0.125,normal,stable,original
8,2026-07-01 08:00:00,46.685,4.336,350.582,2.257,19.044,0.17,normal,stable,original
9,2026-07-01 09:00:00,49.519,4.69,340.029,2.02,19.739,0.178,normal,stable,original
10,2026-07-01 10:00:00,46.702,4.338,353.245,2.298,18.429,0.102,normal,stable,original
11,2026-07-01 11:00:00,46.696,4.337,349.397,2.13,18.903,0.127,normal,stable,original
12,2026-07-01 12:00:00,48.677,4.585,347.133,2.411,18.642,0.127,normal,stable,original
13,2026-07-01 13:00:00,42.643,3.83,339.109,1.997,18.067,0.122,normal,stable,original
14,2026-07-01 14:00:00,43.17,3.896,343.079,2.36,18.959,0.175,normal,stable,original
15,2026-07-01 15:00:00,46.426,4.303,359.065,2.13,18.939,0.144,normal,stable,original
16,2026-07-01 16:00:00,45.164,4.146,356.011,2.002,19.757,0.142,normal,stable,original
17,2026-07-01 17:00:00,48.88,4.61,338.269,2.027,19.315,0.09,normal,stable,original
18,2026-07-01 18:00:00,45.458,4.182,351.192,2.052,18.488,0.169,normal,stable,original
19,2026-07-01 19:00:00,44.046,4.006,359.017,2.164,19.927,0.113,normal,stable,original
20,2026-07-01 20:00:00,52.104,5.013,329.967,2.178,19.611,0.152,normal,stable,original
21,2026-07-01 21:00:00,47.368,4.421,356.52,2.014,19.291,0.158,normal,stable,original
22,2026-07-01 22:00:00,48.189,4.524,342.049,2.096,18.887,0.191,normal,stable,original
23,2026-07-01 23:00:00,44.011,4.001,356.847,2.421,18.52,0.111,normal,stable,original
24,2026-07-02 00:00:00,46.476,4.309,340.841,2.359,18.814,0.059,normal,stable,original
25,2026-07-02 01:00:00,48.311,,328.341,2.165,19.544,0.156,normal,stable,original
26,2026-07-02 02:00:00,44.777,4.097,330.469,2.106,19.942,0.204,normal,stable,original
27,2026-07-02 03:00:00,49.052,4.631,350.577,2.118,19.772,0.187,normal,stable,original
28,2026-07-02 04:00:00,46.318,4.29,353.117,2.192,18.756,0.156,normal,stable,original
29,2026-07-02 05:00:00,47.183,4.398,339.148,1.947,18.44,0.135,normal,stable,original
30,2026-07-02 06:00:00,46.315,4.289,357.663,2.061,19.07,0.174,normal,stable,original
31,2026-07-02 07:00:00,53.186,5.148,330.062,1.85,18.116,0.121,normal,stable,original
32,2026-07-02 08:00:00,47.962,4.495,349.207,2.16,19.162,0.164,normal,stable,original
33,2026-07-02 09:00:00,45.038,4.13,335.468,2.197,18.926,0.165,normal,stable,original
34,2026-07-02 10:00:00,50.303,4.788,342.178,2.028,18.767,0.182,normal,stable,original
35,2026-07-02 11:00:00,44.582,4.073,350.569,2.336,18.203,0.233,normal,stable,original
36,2026-07-02 12:00:00,48.585,4.573,339.675,1.916,19.257,0.162,normal,stable,original
37,2026-07-02 13:00:00,42.513,3.814,345.385,1.88,18.734,0.135,normal,stable,original
38,2026-07-02 14:00:00,44.281,4.035,362.076,2.134,18.415,0.149,normal,stable,original
39,2026-07-02 15:00:00,48.551,4.569,343.077,2.257,17.564,0.097,normal,stable,original
40,2026-07-02 16:00:00,50.068,4.758,360.028,2.353,18.986,0.129,normal,stable,original
41,2026-07-02 17:00:00,48.48,4.56,336.444,2.031,19.886,0.138,normal,stable,original
42,2026-07-02 18:00:00,47.676,4.46,356.358,2.262,19.831,0.134,normal,stable,original
43,2026-07-02 19:00:00,47.157,4.395,367.299,2.094,18.771,0.155,normal,stable,original
44,2026-07-02 20:00:00,43.86,3.983,320.34,2.074,18.699,0.125,normal,stable,original
45,2026-07-02 21:00:00,45.984,4.248,340.437,2.233,19.234,0.184,normal,stable,original
46,2026-07-02 22:00:00,46.71,4.339,356.925,2.198,18.501,0.15,normal,stable,original
47,2026-07-02 23:00:00,50.96,4.87,347.563,1.864,19.151,0.15,normal,stable,original
48,2026-07-03 00:00:00,48.962,4.62,354.454,2.321,19.383,0.14,normal,stable,original
49,2026-07-03 01:00:00,43.063,3.883,342.752,2.307,19.613,0.155,normal,stable,original
50,2026-07-03 02:00:00,48.907,4.613,351.039,2.006,18.95,0.175,normal,stable,original
51,2026-07-03 03:00:00,46.922,4.365,348.132,2.159,18.898,0.124,normal,stable,original
52,2026-07-03 04:00:00,46.105,4.263,364.013,2.174,18.561,0.13,normal,stable,original
53,2026-07-03 05:00:00,49.713,4.714,353.053,2.139,18.587,0.141,normal,stable,original
54,2026-07-03 06:00:00,50.887,4.861,354.051,2.017,18.887,0.11,normal,stable,original
55,2026-07-03 07:00:00,50.608,4.826,,1.999,19.184,0.125,normal,stable,original
56,2026-07-03 08:00:00,45.65,4.206,344.149,2.096,19.457,0.136,normal,stable,original
57,2026-07-03 09:00:00,47.134,4.392,344.809,2.276,18.598,0.176,normal,stable,original
58,2026-07-03 10:00:00,48.928,4.616,354.733,2.182,19.746,0.158,normal,stable,original
59,2026-07-03 11:00:00,50.732,4.841,344.948,2.044,18.864,0.156,normal,stable,original
60,2026-07-03 12:00:00,46.658,4.332,353.477,2.216,18.989,0.176,normal,stable,original
61,2026-07-03 13:00:00,47.48,4.435,374.905,1.673,18.626,0.146,normal,stable,original
62,2026-07-03 14:00:00,44.902,4.113,360.453,2.272,17.788,0.162,normal,stable,original
63,2026-07-03 15:00:00,44.651,4.081,346.088,1.839,19.442,0.147,normal,stable,original
64,2026-07-03 16:00:00,50.275,4.784,364.415,2.046,19.368,0.158,normal,stable,original
65,2026-07-03 17:00:00,51.797,4.975,345.103,1.932,18.859,0.133,normal,stable,original
66,2026-07-03 18:00:00,47.798,4.475,325.543,1.906,19.033,0.077,normal,stable,original
67,2026-07-03 19:00:00,50.81,4.851,337.903,2.274,19.258,0.146,normal,stable,original
68,2026-07-03 20:00:00,49.013,4.627,327.55,2.03,18.219,0.193,normal,stable,original
69,2026-07-03 21:00:00,46.194,4.274,345.782,2.152,18.735,0.178,normal,stable,original
70,2026-07-03 22:00:00,49.012,4.626,350.221,2.093,19.397,0.179,normal,stable,original
71,2026-07-03 23:00:00,52.307,5.038,370.117,2.172,18.373,0.187,normal,stable,original
72,2026-07-04 00:00:00,47.9,4.487,353.923,2.112,19.147,0.153,normal,stable,original
73,2026-07-04 01:00:00,52.381,5.048,347.371,1.908,18.322,0.156,normal,stable,original
74,2026-07-04 02:00:00,40.665,3.583,359.953,2.249,19.233,0.131,normal,stable,original
75,2026-07-04 03:00:00,50.301,4.788,323.466,2.026,18.982,0.141,normal,stable,original
76,2026-07-04 04:00:00,48.244,4.53,352.827,1.867,18.192,0.168,normal,stable,original
77,2026-07-04 05:00:00,47.163,4.395,359.25,2.036,19.582,0.186,normal,stable,original
78,2026-07-04 06:00:00,48.257,4.532,332.257,2.325,18.633,0.146,normal,stable,original
79,2026-07-04 07:00:00,42.435,3.804,363.725,2.228,18.595,0.136,normal,stable,original
80,2026-07-04 08:00:00,47.385,4.423,354.062,2.048,19.1,0.15,normal,stable,original
81,2026-07-04 09:00:00,49.0,4.625,345.017,2.048,19.574,0.168,normal,stable,original
82,2026-07-04 10:00:00,52.138,5.017,357.593,2.052,18.492,0.107,normal,stable,original
83,2026-07-04 11:00:00,46.549,4.319,377.248,2.412,19.031,0.081,normal,stable,original
84,2026-07-04 12:00:00,45.736,4.217,352.182,2.157,19.214,0.133,normal,stable,original
85,2026-07-04 13:00:00,46.595,4.324,352.979,2.165,19.347,,normal,stable,original
86,2026-07-04 14:00:00,50.563,4.82,344.488,2.255,19.088,0.135,normal,stable,original
87,2026-07-04 15:00:00,48.921,4.615,339.802,2.136,18.816,0.146,normal,stable,original
88,2026-07-04 16:00:00,46.517,4.315,359.964,2.061,18.586,0.136,normal,stable,original
